2011,273.33477,169.4326,84.1675,196
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
6.6,-1.5269,28.0096,NaN,3,NaN,NaN,NaN,NaN
8.1,-1.5273,28.0154,365.7756,3,NaN,NaN,NaN,NaN
9.1,-1.5273,28.0183,365.6655,3,NaN,NaN,NaN,NaN
10.0,-1.5275,28.0217,365.5496,2,NaN,NaN,NaN,NaN
10.9,-1.5277,28.0260,365.2558,3,NaN,NaN,NaN,NaN
11.9,-1.5278,28.0303,365.2262,3,NaN,NaN,NaN,NaN
13.0,-1.5282,28.0335,364.9993,3,NaN,NaN,NaN,NaN
14.1,-1.5283,28.0367,364.9204,3,9.9086,NaN,1.1666,0.5254
15.0,-1.5284,28.0386,364.9947,2,NaN,NaN,NaN,NaN
15.9,-1.5284,28.0394,365.0021,3,NaN,NaN,NaN,NaN
17.0,-1.5288,28.0428,364.9830,3,9.8124,NaN,1.1241,0.5106
18.0,-1.5293,28.0623,364.8098,3,NaN,NaN,NaN,NaN
19.1,-1.5299,28.0792,365.2421,3,9.8124,NaN,1.1878,0.5032
20.0,-1.5301,28.0881,364.6782,2,NaN,NaN,NaN,NaN
20.9,-1.5306,28.0932,364.4607,3,9.9086,NaN,1.1666,0.7622
22.0,-1.5307,28.1057,364.4736,3,NaN,NaN,NaN,NaN
23.1,-1.5302,28.7766,362.0914,3,9.8124,NaN,1.1666,0.4884
24.0,-1.5439,29.6080,359.4505,2,NaN,NaN,NaN,NaN
24.9,-1.5674,30.0924,357.8553,3,10.1972,NaN,0.6151,0.4440
25.9,-1.5922,30.5439,354.9517,3,NaN,NaN,NaN,NaN
27.0,-1.6068,30.7810,352.7438,3,9.2352,NaN,0.5727,0.4366
28.1,-1.6202,30.9774,350.5555,3,NaN,NaN,NaN,NaN
29.1,-1.6286,31.1666,348.0919,3,NaN,NaN,NaN,NaN
30.0,-1.6386,31.3573,346.7197,2,8.8504,NaN,0.5303,0.4070
30.9,-1.6435,31.5316,344.7453,3,NaN,NaN,NaN,NaN
32.0,-1.6347,31.7104,342.2390,3,7.8884,NaN,0.3818,0.3774
33.1,-1.6315,31.8614,340.3735,3,NaN,NaN,NaN,NaN
