2012,142.75144,-133.1573,84.8570,199
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
5.0,-1.6677,30.6186,364.9561,8,NaN,NaN,NaN,NaN
6.1,-1.6693,30.6564,365.7827,3,NaN,NaN,NaN,NaN
7.1,-1.6699,30.6647,366.2537,3,NaN,NaN,NaN,NaN
8.1,-1.6707,30.6766,366.3976,3,NaN,NaN,NaN,NaN
9.1,-1.6716,30.6897,366.4324,3,NaN,NaN,NaN,NaN
10.1,-1.6724,30.7017,366.6512,3,NaN,NaN,NaN,NaN
11.2,-1.6730,30.7131,367.0278,3,NaN,NaN,NaN,NaN
12.0,-1.6737,30.7232,367.1173,2,NaN,NaN,NaN,NaN
12.9,-1.6740,30.7310,367.0319,3,NaN,NaN,NaN,NaN
13.9,-1.6743,30.7380,367.2313,3,5.4834,NaN,0.3606,0.3182
14.9,-1.6745,30.7427,367.3907,3,NaN,NaN,NaN,NaN
15.9,-1.6754,30.7549,367.5877,3,5.5796,NaN,0.3394,0.3256
16.9,-1.6766,30.7747,367.9115,3,NaN,NaN,NaN,NaN
17.9,-1.6800,30.7962,368.0488,3,5.7720,NaN,0.4242,0.3182
19.0,-1.6826,30.8113,368.1779,3,NaN,NaN,NaN,NaN
20.0,-1.6838,30.8180,368.5724,3,6.0606,NaN,0.3606,0.3404
21.0,-1.6852,30.8277,368.8717,3,NaN,NaN,NaN,NaN
22.0,-1.6863,30.8394,369.0762,3,6.1568,NaN,0.4242,0.3404
23.0,-1.6866,30.8465,369.2829,3,NaN,NaN,NaN,NaN
24.1,-1.6867,30.8509,369.3026,3,6.2530,NaN,0.4242,0.3256
25.1,-1.6868,30.8544,369.3449,3,NaN,NaN,NaN,NaN
26.1,-1.6870,30.8577,369.4346,3,6.2530,NaN,0.4242,0.3182
27.1,-1.6873,30.8610,369.5846,3,NaN,NaN,NaN,NaN
28.1,-1.6877,30.8641,369.7217,3,6.3492,NaN,0.4454,0.3256
29.1,-1.6880,30.8665,369.9644,3,NaN,NaN,NaN,NaN
30.1,-1.6880,30.8677,370.1640,3,6.5416,NaN,0.4030,0.3404
31.1,-1.6880,30.8686,370.4486,3,NaN,NaN,NaN,NaN
32.2,-1.6882,30.8708,370.6481,3,6.5416,NaN,0.4666,0.3330
33.0,-1.6889,30.8803,370.6066,2,NaN,NaN,NaN,NaN
33.9,-1.6893,30.8903,370.8827,3,6.5416,NaN,0.4666,0.3182
34.9,-1.6898,30.9025,371.0531,3,NaN,NaN,NaN,NaN
35.9,-1.6906,30.9144,370.8161,3,6.5416,NaN,0.4030,0.3330
36.9,-1.6917,30.9328,370.9268,3,NaN,NaN,NaN,NaN
37.9,-1.6934,30.9614,370.9659,3,6.6378,NaN,0.4030,0.3182
38.9,-1.6954,30.9874,371.0241,3,NaN,NaN,NaN,NaN
39.9,-1.6959,30.9979,371.1822,3,6.8302,NaN,0.3818,0.3108
40.9,-1.6966,31.0086,371.3053,3,NaN,NaN,NaN,NaN
41.9,-1.6972,31.0182,371.4475,3,6.9264,NaN,0.4454,0.3256
42.9,-1.6977,31.0295,371.4460,3,NaN,NaN,NaN,NaN
43.9,-1.6984,31.0461,371.6120,3,6.9264,NaN,0.4030,0.3404
44.9,-1.6983,31.0545,371.8149,3,NaN,NaN,NaN,NaN
45.9,-1.6995,31.0609,371.9546,3,7.0226,NaN,0.3818,0.3478
46.9,-1.7003,31.0702,372.1235,3,NaN,NaN,NaN,NaN
47.9,-1.7008,31.0807,372.0657,3,7.4074,NaN,0.4666,0.3182
48.9,-1.7003,31.1028,371.9084,3,NaN,NaN,NaN,NaN
49.9,-1.7003,31.1300,371.8582,3,7.3112,NaN,0.4242,0.3404
50.9,-1.6967,31.1582,371.9809,3,NaN,NaN,NaN,NaN
51.9,-1.6836,31.1845,371.8649,3,7.5998,NaN,0.4242,0.3404
52.9,-1.6809,31.2065,371.1029,3,NaN,NaN,NaN,NaN
53.9,-1.6845,31.2470,370.6141,3,7.5036,NaN,0.4030,0.3330
54.9,-1.6871,31.2905,370.4355,3,NaN,NaN,NaN,NaN
55.9,-1.6614,31.3392,369.6183,3,7.6960,NaN,0.4666,0.3256
57.0,-1.6937,31.4124,369.1862,4,NaN,NaN,NaN,NaN
58.2,-1.5561,31.5800,367.3537,3,7.5998,NaN,0.4242,0.3256
59.1,-1.5258,31.6729,365.1190,3,NaN,NaN,NaN,NaN
60.1,-1.5205,31.7348,361.3627,3,5.2910,NaN,0.2545,0.3256
61.1,-1.5202,31.7811,357.1933,3,NaN,NaN,NaN,NaN
