2009,64.25016,-155.8193,73.2976,756
%pressure(dbar),temperature(C),salinity,nobs
6.0,-1.4956,27.5844,27
7.0,-1.4955,27.5849,5
8.0,-1.4953,27.5852,4
8.9,-1.4953,27.5856,4
9.9,-1.4952,27.5861,4
10.9,-1.4952,27.5864,4
11.9,-1.4949,27.5865,4
12.9,-1.4950,27.5875,4
13.9,-1.4949,27.5879,4
14.9,-1.4949,27.5885,4
16.0,-1.4938,27.5891,4
17.0,-1.4884,27.5916,4
18.0,-1.4789,27.6045,4
19.0,-1.4789,27.6220,4
20.0,-1.4831,27.6388,4
21.0,-1.4869,27.6537,4
22.1,-1.4889,27.6669,4
23.1,-1.4880,27.6775,4
24.1,-1.4824,27.6948,4
25.1,-1.4802,27.7080,4
26.1,-1.4797,27.7261,4
27.0,-1.4800,27.7363,3
27.9,-1.4801,27.7471,4
28.9,-1.4711,27.7715,4
29.9,-1.3845,27.8788,4
30.9,-1.1748,28.3039,4
31.9,-1.0765,28.6514,4
33.0,-1.0525,28.8366,4
34.0,-1.0397,28.9721,4
35.0,-1.0278,29.0763,4
36.0,-1.0161,29.1659,4
37.0,-0.9982,29.2404,4
38.0,-0.9768,29.3028,4
39.0,-0.9537,29.3907,4
40.0,-0.9399,29.4590,4
41.0,-0.9138,29.5402,4
42.0,-0.8862,29.6415,4
43.1,-0.8742,29.7149,4
44.1,-0.8800,29.7560,4
45.1,-0.8984,29.8342,4
46.1,-0.9156,29.9538,4
47.1,-0.9056,30.0654,4
48.1,-0.9063,30.1648,4
49.1,-0.9003,30.2515,4
50.1,-0.8945,30.3216,4
51.0,-0.8922,30.3798,3
51.9,-0.8836,30.4483,4
52.9,-0.8634,30.5195,4
53.9,-0.8684,30.5790,4
54.9,-0.8659,30.6411,4
55.9,-0.8413,30.7150,4
56.9,-0.8233,30.7949,4
57.9,-0.8171,30.9041,4
58.9,-0.8407,30.9927,4
59.9,-0.8502,31.0783,4
60.9,-0.8844,31.1388,4
61.9,-0.9276,31.1880,4
63.0,-0.8988,31.2249,5
64.0,-0.7296,31.3048,3
64.9,-0.6907,31.3862,4
66.0,-0.7471,31.4433,5
67.1,-0.9648,31.5041,4
68.1,-0.9946,31.5097,4
69.1,-1.0033,31.5332,4
70.0,-1.0205,31.5616,3
70.9,-1.0288,31.5850,4
72.0,-1.0419,31.6144,5
73.1,-1.0336,31.6431,4
74.1,-1.0126,31.6806,4
75.1,-1.0089,31.7195,4
76.1,-1.0505,31.7550,4
77.1,-1.0730,31.7808,4
78.1,-1.0753,31.8076,4
79.1,-1.1109,31.8260,4
80.1,-1.1533,31.8359,4
81.1,-1.1807,31.8502,4
82.1,-1.2457,31.8709,4
83.1,-1.2581,31.8820,4
84.1,-1.2536,31.9069,4
85.1,-1.2719,31.9371,4
86.1,-1.2697,31.9558,4
87.1,-1.2770,31.9775,4
88.1,-1.2868,31.9970,4
89.1,-1.2501,32.0077,4
90.1,-1.1784,32.0304,4
91.1,-1.1433,32.0579,4
92.1,-1.1312,32.0782,4
93.1,-1.1309,32.0971,4
94.1,-1.1370,32.1169,4
95.1,-1.1493,32.1365,4
96.1,-1.1724,32.1597,4
97.0,-1.1875,32.1733,4
98.0,-1.1889,32.1926,4
99.0,-1.2268,32.2045,4
100.0,-1.2194,32.2094,4
101.0,-1.2226,32.2284,4
102.0,-1.2573,32.2467,4
103.0,-1.2770,32.2518,4
104.0,-1.2774,32.2620,4
105.0,-1.2758,32.2671,4
106.0,-1.2771,32.2749,4
107.0,-1.2747,32.2867,4
108.0,-1.2738,32.3024,4
109.0,-1.2832,32.3170,4
110.0,-1.2888,32.3294,4
111.0,-1.2853,32.3442,4
112.0,-1.2888,32.3569,4
112.9,-1.2712,32.3668,4
113.9,-1.2636,32.3866,4
114.9,-1.2726,32.4037,4
115.9,-1.2889,32.4158,4
116.9,-1.3083,32.4312,4
117.9,-1.3145,32.4404,4
118.9,-1.3247,32.4509,4
119.9,-1.3363,32.4612,4
120.9,-1.3481,32.4731,4
121.9,-1.3563,32.4886,4
123.0,-1.3503,32.5060,5
124.1,-1.3457,32.5190,4
125.1,-1.3514,32.5318,4
126.1,-1.3595,32.5456,4
127.1,-1.3657,32.5589,4
128.1,-1.3726,32.5707,4
129.1,-1.3838,32.5884,4
130.1,-1.3941,32.6055,4
131.1,-1.4004,32.6183,4
132.1,-1.4073,32.6267,4
133.1,-1.4194,32.6368,4
134.1,-1.4281,32.6458,4
135.0,-1.4315,32.6551,4
136.0,-1.4382,32.6721,4
137.0,-1.4428,32.6902,4
138.0,-1.4456,32.6994,4
139.0,-1.4509,32.7100,4
140.0,-1.4556,32.7196,4
141.0,-1.4626,32.7297,4
142.0,-1.4667,32.7407,4
143.0,-1.4719,32.7507,4
143.9,-1.4788,32.7597,4
144.9,-1.4841,32.7686,4
145.9,-1.4870,32.7779,4
146.9,-1.4901,32.7886,4
147.9,-1.4919,32.7986,4
148.9,-1.4952,32.8113,4
149.9,-1.4987,32.8233,4
150.9,-1.5016,32.8343,4
152.0,-1.5087,32.8525,5
153.1,-1.5127,32.8627,4
154.1,-1.5171,32.8737,4
155.1,-1.5188,32.8870,4
156.1,-1.5213,32.8987,4
157.1,-1.5268,32.9101,4
158.0,-1.5295,32.9207,4
159.0,-1.5306,32.9287,4
160.0,-1.5325,32.9418,4
161.0,-1.5341,32.9566,4
162.0,-1.5345,32.9747,4
163.0,-1.5360,32.9966,4
164.0,-1.5357,33.0141,4
165.0,-1.5338,33.0254,4
166.0,-1.5321,33.0396,4
166.9,-1.5305,33.0517,4
167.9,-1.5291,33.0577,4
168.9,-1.5282,33.0640,4
169.9,-1.5271,33.0725,4
170.9,-1.5263,33.0830,4
171.9,-1.5227,33.0919,4
172.9,-1.5170,33.1026,4
173.9,-1.5136,33.1153,4
175.0,-1.5034,33.1347,5
176.1,-1.4986,33.1516,4
177.1,-1.4948,33.1650,4
178.1,-1.4909,33.1785,4
179.1,-1.4883,33.1918,4
180.1,-1.4860,33.2060,4
181.1,-1.4843,33.2225,4
182.1,-1.4829,33.2394,4
183.1,-1.4843,33.2609,4
184.1,-1.4839,33.2747,4
185.0,-1.4804,33.2874,4
186.0,-1.4745,33.3036,4
187.0,-1.4656,33.3202,4
188.0,-1.4502,33.3459,4
189.0,-1.4421,33.3676,4
190.0,-1.4385,33.3809,4
191.0,-1.4350,33.3970,4
