2016,3.75156,178.6123,82.6663,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
7.3,-1.6214,29.8568,5,NaN,NaN,NaN,5
8.0,-1.6214,29.8569,5,3.66,-2.15,-6.51,5
9.0,-1.6216,29.8575,4,3.96,-2.58,-2.41,4
10.0,-1.6217,29.8579,4,3.48,-2.77,-2.74,4
11.1,-1.6216,29.8581,4,3.80,-2.63,-2.97,4
12.1,-1.6217,29.8586,4,3.83,-2.15,-3.25,4
13.1,-1.6215,29.8585,4,3.67,-2.44,-2.86,4
14.0,-1.6216,29.8594,4,3.93,-2.23,-2.90,4
15.0,-1.6215,29.8594,4,3.60,-2.23,-2.70,4
15.9,-1.6216,29.8603,4,3.58,-2.85,-2.89,4
16.9,-1.6215,29.8610,4,3.13,-2.85,-3.42,4
17.9,-1.6213,29.8615,4,3.14,-3.16,-3.64,4
18.9,-1.6213,29.8628,4,3.31,-3.11,-3.35,4
20.0,-1.6214,29.8641,4,3.38,-3.16,-3.18,4
21.0,-1.6216,29.8649,4,3.27,-3.11,-3.57,4
22.0,-1.6215,29.8646,4,3.54,-3.57,-4.02,4
23.0,-1.6214,29.8646,4,3.22,-3.80,-3.22,4
23.9,-1.5891,29.9609,4,3.94,-3.79,-2.56,4
24.9,-1.4619,30.3650,4,1.93,-7.68,-1.76,4
25.9,-1.3327,30.8388,4,3.67,-6.39,-2.43,4
26.9,-1.2698,31.0442,4,2.82,-3.81,-2.48,4
28.0,-1.2230,31.1012,4,4.15,-1.93,-2.96,4
29.0,-1.1951,31.1796,4,5.37,-1.01,-3.13,4
30.0,-1.2102,31.2599,4,6.43,0.27,-2.72,4
31.0,-1.2232,31.2997,4,5.93,0.23,-2.62,4
32.0,-1.2400,31.3198,4,6.77,0.22,-2.60,4
33.1,-1.2334,31.3476,4,7.27,-0.40,-2.31,4
34.1,-1.2246,31.3744,4,6.79,-0.91,-2.56,4
35.1,-1.2275,31.3974,4,6.24,-1.49,-2.72,4
36.0,-1.2594,31.4198,3,6.37,-2.42,-2.40,3
36.9,-1.2653,31.4649,4,7.21,-2.27,-2.08,4
37.9,-1.2654,31.5006,4,7.65,-1.90,-2.24,4
38.9,-1.2910,31.5319,4,7.92,-2.12,-2.18,4
40.0,-1.3624,31.5602,4,7.55,-2.19,-2.53,4
41.0,-1.3546,31.5886,4,7.09,-2.06,-2.40,4
42.0,-1.3576,31.6185,4,6.73,-2.03,-2.34,4
43.1,-1.3810,31.6416,4,5.92,-2.43,-2.46,4
44.1,-1.3677,31.6729,4,4.58,-2.81,-2.20,4
45.0,-1.3671,31.6885,3,5.15,-3.12,-2.28,3
45.9,-1.3581,31.7148,4,5.05,-2.79,-2.65,4
46.9,-1.3180,31.7541,4,4.67,-2.88,-2.55,4
48.0,-1.3141,31.7760,4,3.91,-2.21,-2.82,4
49.0,-1.3288,31.8060,4,3.65,-0.80,-2.74,4
50.0,-1.3415,31.8254,4,3.29,0.41,-3.13,4
51.1,-1.3313,31.8471,4,3.07,1.08,-3.10,4
52.0,-1.3226,31.8792,3,2.95,0.28,-3.30,3
52.9,-1.3551,31.8919,4,2.82,0.37,-3.34,4
53.9,-1.3758,31.9102,4,2.83,-0.40,-3.14,4
55.0,-1.3800,31.9250,4,2.15,-0.76,-3.20,4
56.0,-1.3992,31.9526,4,1.24,-0.00,-3.26,4
57.0,-1.4027,31.9758,4,1.58,0.35,-3.24,4
58.1,-1.4057,31.9959,4,1.78,-0.08,-3.19,4
59.0,-1.4187,32.0087,3,1.54,0.07,-3.24,3
59.9,-1.4253,32.0223,4,1.95,-0.00,-3.38,4
60.9,-1.4133,32.0414,4,1.56,0.25,-2.94,4
62.0,-1.4083,32.0662,4,1.24,-0.10,-3.09,4
63.0,-1.4212,32.0777,4,0.97,0.18,-3.08,4
