2016,52.75163,-173.4200,82.9997,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
7.3,-1.6453,30.0428,2,NaN,NaN,NaN,2
7.9,-1.6454,30.0429,5,2.39,-3.81,-3.35,4
9.0,-1.6455,30.0435,4,2.57,-3.06,-2.37,4
10.0,-1.6455,30.0431,4,3.10,-2.23,-2.21,4
11.0,-1.6453,30.0430,4,3.17,-2.56,-1.78,4
12.0,-1.6453,30.0429,4,3.01,-2.45,-1.85,4
13.0,-1.6454,30.0428,4,2.78,-2.00,-2.49,4
14.0,-1.6453,30.0427,4,3.46,-1.46,-3.71,4
15.0,-1.6452,30.0428,4,2.99,-1.32,-3.50,4
16.0,-1.6454,30.0430,4,3.02,-2.09,-2.96,4
17.0,-1.6453,30.0432,4,2.72,-2.50,-3.07,4
18.0,-1.6455,30.0435,4,2.83,-1.93,-2.03,4
19.0,-1.6453,30.0437,4,2.35,-2.01,-2.46,4
20.0,-1.6453,30.0438,4,1.84,-2.55,-2.42,4
21.0,-1.6452,30.0441,4,1.52,-2.04,-2.41,4
22.0,-1.6453,30.0447,4,1.60,-1.46,-0.94,4
23.0,-1.6453,30.0469,4,0.60,-0.87,-0.77,4
24.0,-1.6456,30.0547,4,0.56,-0.31,-1.49,4
25.0,-1.6471,30.0829,4,2.59,-0.09,-2.43,4
26.0,-1.6491,30.1210,4,1.42,0.03,-2.08,4
27.0,-1.6492,30.1262,4,1.18,-0.74,-1.76,4
28.0,-1.6487,30.1319,4,0.83,-0.36,-1.96,4
29.0,-1.6482,30.1458,4,1.08,-0.66,-2.31,4
30.0,-1.6451,30.1639,4,2.01,-1.07,-2.29,4
31.1,-1.6444,30.1680,4,2.98,-1.58,-2.74,4
32.1,-1.6423,30.1768,4,3.47,-2.28,-1.97,4
33.1,-1.6377,30.1919,4,4.72,-3.43,-2.80,4
34.0,-1.6338,30.2044,3,6.50,-3.44,-2.93,3
34.9,-1.6304,30.2173,4,5.97,-3.75,-2.38,4
35.9,-1.6255,30.2358,4,4.47,-4.51,-2.55,4
36.9,-1.6215,30.2545,4,4.52,-4.61,-2.26,4
38.0,-1.5887,30.4284,4,3.26,-5.88,-1.83,4
39.0,-1.4243,31.0800,4,3.41,-2.87,-2.21,4
40.0,-1.3393,31.2295,4,3.16,2.01,-2.20,4
41.0,-1.2943,31.2866,4,3.47,1.75,-1.90,4
42.0,-1.2176,31.3408,4,3.95,2.28,-2.12,4
43.0,-1.2933,31.4144,4,4.93,1.48,-2.25,4
44.1,-1.3427,31.4538,4,5.07,1.49,-2.32,4
45.1,-1.3406,31.4736,4,3.84,1.80,-2.26,4
46.0,-1.2955,31.5079,3,3.32,2.19,-2.11,3
46.9,-1.3050,31.5346,4,2.44,0.91,-2.65,4
47.9,-1.3108,31.5710,4,3.11,0.25,-1.54,4
48.9,-1.3162,31.5974,4,3.22,0.02,-2.46,4
